Any,Indicador,Equipament,Valor,Notes_Dades,Notes_Equipament,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,Titularitat,TipusGeneral,TipusEquipament,Ambit,Latitud,Longitud
2021,Assistents_Activitats,"Biblioteca Barceloneta - La Fraternitat",378,,,01,"Ciutat Vella",03,"la Barceloneta",Municipal,"Biblioteques de Barcelona",Biblioteques,Lletres,41.379201005,2.188854072
2021,Assistents_Activitats,"Biblioteca Francesca Bonnemaison",996,,,01,"Ciutat Vella",04,"Sant Pere, Santa Caterina i la Ribera",Municipal,"Biblioteques de Barcelona",Biblioteques,Lletres,41.386936575,2.175789976
2021,Assistents_Activitats,"Biblioteca Gòtic - Andreu Nin",666,,,01,"Ciutat Vella",02,"el Barri Gòtic",Municipal,"Biblioteques de Barcelona",Biblioteques,Lletres,41.378730324,2.175978504
2021,Assistents_Activitats,"Biblioteca Sant Pau - Santa Creu",303,,,01,"Ciutat Vella",01,"el Raval",Municipal,"Biblioteques de Barcelona",Biblioteques,Lletres,41.381057326,2.169793857
2021,Assistents_Activitats,"Bibl. Esquerra de l'Eixample - Agustí Centelles",1156,,,02,Eixample,09,"la Nova Esquerra de l'Eixample",Municipal,"Biblioteques de Barcelona",Biblioteques,Lletres,41.3864488,2.1527896
2021,Assistents_Activitats,"Bibl. Sagrada Família - J. M. Ainaud de Lasarte",1313,,,02,Eixample,06,"la Sagrada Família",Municipal,"Biblioteques de Barcelona",Biblioteques,Lletres,41.4055771,2.176118
2021,Assistents_Activitats,"Biblioteca Fort Pienc",635,,,02,Eixample,05,"el Fort Pienc",Municipal,"Biblioteques de Barcelona",Biblioteques,Lletres,41.395555185,2.182447586
2021,Assistents_Activitats,"Biblioteca Joan Miró",445,,,02,Eixample,09,"la Nova Esquerra de l'Eixample",Municipal,"Biblioteques de Barcelona",Biblioteques,Lletres,41.378816801,2.149230361
2021,Assistents_Activitats,"Biblioteca Sant Antoni - Joan Oliver",590,,,02,Eixample,10,"Sant Antoni",Municipal,"Biblioteques de Barcelona",Biblioteques,Lletres,41.377384776,2.162778079
2021,Assistents_Activitats,"Biblioteca Sofia Barat",631,,,02,Eixample,07,"la Dreta de l'Eixample",Municipal,"Biblioteques de Barcelona",Biblioteques,Lletres,41.394674294,2.171504480
2021,Assistents_Activitats,"Bibl. Vallcarca i els Penitents - M. Antonieta Cot",733,,,06,Gràcia,28,"Vallcarca i els Penitents",Municipal,"Biblioteques de Barcelona",Biblioteques,Lletres,41.420008234,2.139657303
2021,Assistents_Activitats,"Biblioteca Jaume Fuster",1815,,,06,Gràcia,28,"Vallcarca i els Penitents",Municipal,"Biblioteques de Barcelona",Biblioteques,Lletres,41.407459888,2.149757498
2021,Assistents_Activitats,"Biblioteca Vila de Gràcia",832,,,06,Gràcia,31,"la Vila de Gràcia",Municipal,"Biblioteques de Barcelona",Biblioteques,Lletres,41.401467067,2.158213802
2021,Assistents_Activitats,"Biblioteca El Carmel - Juan Marsé",1187,,,07,Horta-Guinardó,37,"el Carmel",Municipal,"Biblioteques de Barcelona",Biblioteques,Lletres,41.421104560,2.155286623
2021,Assistents_Activitats,"Biblioteca Guinardó - Mercè Rodoreda",918,,,07,Horta-Guinardó,33,"el Baix Guinardó",Municipal,"Biblioteques de Barcelona",Biblioteques,Lletres,41.414313258,2.165318095
2021,Assistents_Activitats,"Biblioteca Horta - Can Mariner",1102,,,07,Horta-Guinardó,43,Horta,Municipal,"Biblioteques de Barcelona",Biblioteques,Lletres,41.431105502,2.160733590
2021,Assistents_Activitats,"Biblioteca Montbau - Albert Pérez Baró",430,,,07,Horta-Guinardó,40,Montbau,Municipal,"Biblioteques de Barcelona",Biblioteques,Lletres,41.429553532,2.142195427
2021,Assistents_Activitats,"Biblioteca Les Corts - Miquel Llongueras",448,,,04,"Les Corts",20,"la Maternitat i Sant Ramon",Municipal,"Biblioteques de Barcelona",Biblioteques,Lletres,41.377777960,2.121760828
2021,Assistents_Activitats,"Biblioteca Montserrat Abelló",1462,,"Biblioteca inaugurada el 26 de gener de 2018.",04,"Les Corts",19,"les Corts",Municipal,"Biblioteques de Barcelona",Biblioteques,Lletres,41.383722,2.1352722
2021,Assistents_Activitats,"Biblioteca Canyelles",326,,,08,"Nou Barris",49,Canyelles,Municipal,"Biblioteques de Barcelona",Biblioteques,Lletres,41.443773486,2.164322669
2021,Assistents_Activitats,"Biblioteca Les Roquetes - Rafa Juncadella",1098,,,08,"Nou Barris",50,"les Roquetes",Municipal,"Biblioteques de Barcelona",Biblioteques,Lletres,41.445371792,2.177103706
2021,Assistents_Activitats,"Biblioteca Nou Barris",1264,,,08,"Nou Barris",48,"la Guineueta",Municipal,"Biblioteques de Barcelona",Biblioteques,Lletres,41.436813681,2.171212448
2021,Assistents_Activitats,"Biblioteca Vilapicina i la Torre Llobeta",1428,,,08,"Nou Barris",44,"Vilapicina i la Torre Llobeta",Municipal,"Biblioteques de Barcelona",Biblioteques,Lletres,41.426885098,2.176452383
2021,Assistents_Activitats,"Biblioteca Zona Nord",1160,,,08,"Nou Barris",54,"Torre Baró",Municipal,"Biblioteques de Barcelona",Biblioteques,Lletres,41.461237425,2.179875786
2021,Assistents_Activitats,"Biblioteca Bon Pastor",4214,,,09,"Sant Andreu",59,"el Bon Pastor",Municipal,"Biblioteques de Barcelona",Biblioteques,Lletres,41.435164144,2.204659876
2021,Assistents_Activitats,"Biblioteca Ignasi Iglésias - Can Fabra",4549,,,09,"Sant Andreu",60,"Sant Andreu",Municipal,"Biblioteques de Barcelona",Biblioteques,Lletres,41.434481450,2.190871493
2021,Assistents_Activitats,"Biblioteca La Sagrera - Marina Clotet",957,,,09,"Sant Andreu",61,"la Sagrera",Municipal,"Biblioteques de Barcelona",Biblioteques,Lletres,41.425875519,2.193764263
2021,Assistents_Activitats,"Biblioteca Trinitat Vella - José Barbero",926,,,09,"Sant Andreu",57,"la Trinitat Vella",Municipal,"Biblioteques de Barcelona",Biblioteques,Lletres,41.449283144,2.190748711
2021,Assistents_Activitats,"Biblioteca Camp de l'Arpa - Caterina Albert",1035,,,10,"Sant Martí",64,"el Camp de l'Arpa del Clot",Municipal,"Biblioteques de Barcelona",Biblioteques,Lletres,41.415766234,2.182280785
2021,Assistents_Activitats,"Biblioteca El Clot - Josep Benet",752,,,10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou",Municipal,"Biblioteques de Barcelona",Biblioteques,Lletres,41.4019532,2.188806
2021,Assistents_Activitats,"Biblioteca Poblenou - Manuel Arranz",921,,,10,"Sant Martí",68,"el Poblenou",Municipal,"Biblioteques de Barcelona",Biblioteques,Lletres,41.401373426,2.204525705
2021,Assistents_Activitats,"Biblioteca Ramon d'Alòs-Moner",391,,,10,"Sant Martí",70,"el Besòs i el Maresme",Municipal,"Biblioteques de Barcelona",Biblioteques,Lletres,41.416309274,2.211483280
2021,Assistents_Activitats,"Biblioteca Sant Martí de Provençals",223,,"Aquesta biblioteca va tancar definitivament el 18/12/2021.",10,"Sant Martí",72,"Sant Martí de Provençals",Municipal,"Biblioteques de Barcelona",Biblioteques,Lletres,41.416623960,2.198564569
2021,Assistents_Activitats,"Biblioteca Xavier Benguerel",971,,,10,"Sant Martí",67,"la Vila Olímpica del Poblenou",Municipal,"Biblioteques de Barcelona",Biblioteques,Lletres,41.392407385,2.197710107
2021,Assistents_Activitats,"Biblioteca Francesc Candel",985,,,03,Sants-Montjuïc,13,"la Marina de Port",Municipal,"Biblioteques de Barcelona",Biblioteques,Lletres,41.361777512,2.136276613
2021,Assistents_Activitats,"Biblioteca Poble Sec - Francesc Boix",787,,,03,Sants-Montjuïc,11,"el Poble Sec",Municipal,"Biblioteques de Barcelona",Biblioteques,Lletres,41.373921824,2.164025015
2021,Assistents_Activitats,"Biblioteca Vapor Vell",1615,,,03,Sants-Montjuïc,18,Sants,Municipal,"Biblioteques de Barcelona",Biblioteques,Lletres,41.376897256,2.134733614
2021,Assistents_Activitats,"Biblioteca Clarà",402,,,05,"Sarrià-Sant Gervasi",24,"les Tres Torres",Municipal,"Biblioteques de Barcelona",Biblioteques,Lletres,41.399909399,2.129455802
2021,Assistents_Activitats,"Biblioteca Collserola - Josep Miracle",548,,,05,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes",Municipal,"Biblioteques de Barcelona",Biblioteques,Lletres,41.415359022,2.102528700
2021,Assistents_Activitats,"Biblioteca Sant Gervasi - Joan Maragall",921,,,05,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova",Municipal,"Biblioteques de Barcelona",Biblioteques,Lletres,41.4059495,2.136064
2021,Assistents_Visites_Escolars,"Biblioteca Barceloneta - La Fraternitat",1107,,,01,"Ciutat Vella",03,"la Barceloneta",Municipal,"Biblioteques de Barcelona",Biblioteques,Lletres,41.379201005,2.188854072
2021,Assistents_Visites_Escolars,"Biblioteca Francesca Bonnemaison",2325,,,01,"Ciutat Vella",04,"Sant Pere, Santa Caterina i la Ribera",Municipal,"Biblioteques de Barcelona",Biblioteques,Lletres,41.386936575,2.175789976
2021,Assistents_Visites_Escolars,"Biblioteca Gòtic - Andreu Nin",1396,,,01,"Ciutat Vella",02,"el Barri Gòtic",Municipal,"Biblioteques de Barcelona",Biblioteques,Lletres,41.378730324,2.175978504
2021,Assistents_Visites_Escolars,"Biblioteca Sant Pau - Santa Creu",2053,,,01,"Ciutat Vella",01,"el Raval",Municipal,"Biblioteques de Barcelona",Biblioteques,Lletres,41.381057326,2.169793857
2021,Assistents_Visites_Escolars,"Bibl. Esquerra de l'Eixample - Agustí Centelles",844,,,02,Eixample,09,"la Nova Esquerra de l'Eixample",Municipal,"Biblioteques de Barcelona",Biblioteques,Lletres,41.3864488,2.1527896
2021,Assistents_Visites_Escolars,"Bibl. Sagrada Família - J. M. Ainaud de Lasarte",1835,,,02,Eixample,06,"la Sagrada Família",Municipal,"Biblioteques de Barcelona",Biblioteques,Lletres,41.4055771,2.176118
2021,Assistents_Visites_Escolars,"Biblioteca Fort Pienc",1780,,,02,Eixample,05,"el Fort Pienc",Municipal,"Biblioteques de Barcelona",Biblioteques,Lletres,41.395555185,2.182447586
2021,Assistents_Visites_Escolars,"Biblioteca Joan Miró",952,,,02,Eixample,09,"la Nova Esquerra de l'Eixample",Municipal,"Biblioteques de Barcelona",Biblioteques,Lletres,41.378816801,2.149230361
2021,Assistents_Visites_Escolars,"Biblioteca Sant Antoni - Joan Oliver",239,,,02,Eixample,10,"Sant Antoni",Municipal,"Biblioteques de Barcelona",Biblioteques,Lletres,41.377384776,2.162778079
2021,Assistents_Visites_Escolars,"Biblioteca Sofia Barat",976,,,02,Eixample,07,"la Dreta de l'Eixample",Municipal,"Biblioteques de Barcelona",Biblioteques,Lletres,41.394674294,2.171504480
2021,Assistents_Visites_Escolars,"Bibl. Vallcarca i els Penitents - M. Antonieta Cot",671,,,06,Gràcia,28,"Vallcarca i els Penitents",Municipal,"Biblioteques de Barcelona",Biblioteques,Lletres,41.420008234,2.139657303
2021,Assistents_Visites_Escolars,"Biblioteca Jaume Fuster",1942,,,06,Gràcia,28,"Vallcarca i els Penitents",Municipal,"Biblioteques de Barcelona",Biblioteques,Lletres,41.407459888,2.149757498
2021,Assistents_Visites_Escolars,"Biblioteca Vila de Gràcia",560,,,06,Gràcia,31,"la Vila de Gràcia",Municipal,"Biblioteques de Barcelona",Biblioteques,Lletres,41.401467067,2.158213802
2021,Assistents_Visites_Escolars,"Biblioteca El Carmel - Juan Marsé",930,,,07,Horta-Guinardó,37,"el Carmel",Municipal,"Biblioteques de Barcelona",Biblioteques,Lletres,41.421104560,2.155286623
2021,Assistents_Visites_Escolars,"Biblioteca Guinardó - Mercè Rodoreda",473,,,07,Horta-Guinardó,33,"el Baix Guinardó",Municipal,"Biblioteques de Barcelona",Biblioteques,Lletres,41.414313258,2.165318095
2021,Assistents_Visites_Escolars,"Biblioteca Horta - Can Mariner",456,,,07,Horta-Guinardó,43,Horta,Municipal,"Biblioteques de Barcelona",Biblioteques,Lletres,41.431105502,2.160733590
2021,Assistents_Visites_Escolars,"Biblioteca Montbau - Albert Pérez Baró",276,,,07,Horta-Guinardó,40,Montbau,Municipal,"Biblioteques de Barcelona",Biblioteques,Lletres,41.429553532,2.142195427
2021,Assistents_Visites_Escolars,"Biblioteca Les Corts - Miquel Llongueras",475,,,04,"Les Corts",20,"la Maternitat i Sant Ramon",Municipal,"Biblioteques de Barcelona",Biblioteques,Lletres,41.377777960,2.121760828
2021,Assistents_Visites_Escolars,"Biblioteca Montserrat Abelló",1773,,"Biblioteca inaugurada el 26 de gener de 2018.",04,"Les Corts",19,"les Corts",Municipal,"Biblioteques de Barcelona",Biblioteques,Lletres,41.383722,2.1352722
2021,Assistents_Visites_Escolars,"Biblioteca Canyelles",145,,,08,"Nou Barris",49,Canyelles,Municipal,"Biblioteques de Barcelona",Biblioteques,Lletres,41.443773486,2.164322669
2021,Assistents_Visites_Escolars,"Biblioteca Les Roquetes - Rafa Juncadella",677,,,08,"Nou Barris",50,"les Roquetes",Municipal,"Biblioteques de Barcelona",Biblioteques,Lletres,41.445371792,2.177103706
2021,Assistents_Visites_Escolars,"Biblioteca Nou Barris",1421,,,08,"Nou Barris",48,"la Guineueta",Municipal,"Biblioteques de Barcelona",Biblioteques,Lletres,41.436813681,2.171212448
2021,Assistents_Visites_Escolars,"Biblioteca Vilapicina i la Torre Llobeta",1127,,,08,"Nou Barris",44,"Vilapicina i la Torre Llobeta",Municipal,"Biblioteques de Barcelona",Biblioteques,Lletres,41.426885098,2.176452383
2021,Assistents_Visites_Escolars,"Biblioteca Zona Nord",1439,,,08,"Nou Barris",54,"Torre Baró",Municipal,"Biblioteques de Barcelona",Biblioteques,Lletres,41.461237425,2.179875786
2021,Assistents_Visites_Escolars,"Biblioteca Bon Pastor",3088,,,09,"Sant Andreu",59,"el Bon Pastor",Municipal,"Biblioteques de Barcelona",Biblioteques,Lletres,41.435164144,2.204659876
2021,Assistents_Visites_Escolars,"Biblioteca Ignasi Iglésias - Can Fabra",3040,,,09,"Sant Andreu",60,"Sant Andreu",Municipal,"Biblioteques de Barcelona",Biblioteques,Lletres,41.434481450,2.190871493
2021,Assistents_Visites_Escolars,"Biblioteca La Sagrera - Marina Clotet",1326,,,09,"Sant Andreu",61,"la Sagrera",Municipal,"Biblioteques de Barcelona",Biblioteques,Lletres,41.425875519,2.193764263
2021,Assistents_Visites_Escolars,"Biblioteca Trinitat Vella - José Barbero",379,,,09,"Sant Andreu",57,"la Trinitat Vella",Municipal,"Biblioteques de Barcelona",Biblioteques,Lletres,41.449283144,2.190748711
2021,Assistents_Visites_Escolars,"Biblioteca Camp de l'Arpa - Caterina Albert",1075,,,10,"Sant Martí",64,"el Camp de l'Arpa del Clot",Municipal,"Biblioteques de Barcelona",Biblioteques,Lletres,41.415766234,2.182280785
2021,Assistents_Visites_Escolars,"Biblioteca El Clot - Josep Benet",840,,,10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou",Municipal,"Biblioteques de Barcelona",Biblioteques,Lletres,41.4019532,2.188806
2021,Assistents_Visites_Escolars,"Biblioteca Poblenou - Manuel Arranz",977,,,10,"Sant Martí",68,"el Poblenou",Municipal,"Biblioteques de Barcelona",Biblioteques,Lletres,41.401373426,2.204525705
2021,Assistents_Visites_Escolars,"Biblioteca Ramon d'Alòs-Moner",285,,,10,"Sant Martí",70,"el Besòs i el Maresme",Municipal,"Biblioteques de Barcelona",Biblioteques,Lletres,41.416309274,2.211483280
2021,Assistents_Visites_Escolars,"Biblioteca Sant Martí de Provençals",609,,"Aquesta biblioteca va tancar definitivament el 18/12/2021.",10,"Sant Martí",72,"Sant Martí de Provençals",Municipal,"Biblioteques de Barcelona",Biblioteques,Lletres,41.416623960,2.198564569
2021,Assistents_Visites_Escolars,"Biblioteca Xavier Benguerel",968,,,10,"Sant Martí",67,"la Vila Olímpica del Poblenou",Municipal,"Biblioteques de Barcelona",Biblioteques,Lletres,41.392407385,2.197710107
2021,Assistents_Visites_Escolars,"Biblioteca Francesc Candel",1006,,,03,Sants-Montjuïc,13,"la Marina de Port",Municipal,"Biblioteques de Barcelona",Biblioteques,Lletres,41.361777512,2.136276613
2021,Assistents_Visites_Escolars,"Biblioteca Poble Sec - Francesc Boix",425,,,03,Sants-Montjuïc,11,"el Poble Sec",Municipal,"Biblioteques de Barcelona",Biblioteques,Lletres,41.373921824,2.164025015
2021,Assistents_Visites_Escolars,"Biblioteca Vapor Vell",1170,,,03,Sants-Montjuïc,18,Sants,Municipal,"Biblioteques de Barcelona",Biblioteques,Lletres,41.376897256,2.134733614
2021,Assistents_Visites_Escolars,"Biblioteca Clarà",233,,,05,"Sarrià-Sant Gervasi",24,"les Tres Torres",Municipal,"Biblioteques de Barcelona",Biblioteques,Lletres,41.399909399,2.129455802
2021,Assistents_Visites_Escolars,"Biblioteca Collserola - Josep Miracle",395,,,05,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes",Municipal,"Biblioteques de Barcelona",Biblioteques,Lletres,41.415359022,2.102528700
2021,Assistents_Visites_Escolars,"Biblioteca Sant Gervasi - Joan Maragall",418,,,05,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova",Municipal,"Biblioteques de Barcelona",Biblioteques,Lletres,41.4059495,2.136064
2021,Fons_Documentals,"Biblioteca Barceloneta - La Fraternitat",43873,,,01,"Ciutat Vella",03,"la Barceloneta",Municipal,"Biblioteques de Barcelona",Biblioteques,Lletres,41.379201005,2.188854072
2021,Fons_Documentals,"Biblioteca Francesca Bonnemaison",72383,,,01,"Ciutat Vella",04,"Sant Pere, Santa Caterina i la Ribera",Municipal,"Biblioteques de Barcelona",Biblioteques,Lletres,41.386936575,2.175789976
2021,Fons_Documentals,"Biblioteca Gòtic - Andreu Nin",45334,,,01,"Ciutat Vella",02,"el Barri Gòtic",Municipal,"Biblioteques de Barcelona",Biblioteques,Lletres,41.378730324,2.175978504
2021,Fons_Documentals,"Biblioteca Sant Pau - Santa Creu",62108,,,01,"Ciutat Vella",01,"el Raval",Municipal,"Biblioteques de Barcelona",Biblioteques,Lletres,41.381057326,2.169793857
2021,Fons_Documentals,"Bibl. Esquerra de l'Eixample - Agustí Centelles",86445,,,02,Eixample,09,"la Nova Esquerra de l'Eixample",Municipal,"Biblioteques de Barcelona",Biblioteques,Lletres,41.3864488,2.1527896
2021,Fons_Documentals,"Bibl. Sagrada Família - J. M. Ainaud de Lasarte",86927,,,02,Eixample,06,"la Sagrada Família",Municipal,"Biblioteques de Barcelona",Biblioteques,Lletres,41.4055771,2.176118
2021,Fons_Documentals,"Biblioteca Fort Pienc",56049,,,02,Eixample,05,"el Fort Pienc",Municipal,"Biblioteques de Barcelona",Biblioteques,Lletres,41.395555185,2.182447586
2021,Fons_Documentals,"Biblioteca Joan Miró",58509,,,02,Eixample,09,"la Nova Esquerra de l'Eixample",Municipal,"Biblioteques de Barcelona",Biblioteques,Lletres,41.378816801,2.149230361
2021,Fons_Documentals,"Biblioteca Sant Antoni - Joan Oliver",39540,,,02,Eixample,10,"Sant Antoni",Municipal,"Biblioteques de Barcelona",Biblioteques,Lletres,41.377384776,2.162778079
2021,Fons_Documentals,"Biblioteca Sofia Barat",31630,,,02,Eixample,07,"la Dreta de l'Eixample",Municipal,"Biblioteques de Barcelona",Biblioteques,Lletres,41.394674294,2.171504480
2021,Fons_Documentals,"Bibl. Vallcarca i els Penitents - M. Antonieta Cot",36298,,,06,Gràcia,28,"Vallcarca i els Penitents",Municipal,"Biblioteques de Barcelona",Biblioteques,Lletres,41.420008234,2.139657303
2021,Fons_Documentals,"Biblioteca Jaume Fuster",113890,,,06,Gràcia,28,"Vallcarca i els Penitents",Municipal,"Biblioteques de Barcelona",Biblioteques,Lletres,41.407459888,2.149757498
2021,Fons_Documentals,"Biblioteca Vila de Gràcia",46044,,,06,Gràcia,31,"la Vila de Gràcia",Municipal,"Biblioteques de Barcelona",Biblioteques,Lletres,41.401467067,2.158213802
2021,Fons_Documentals,"Biblioteca El Carmel - Juan Marsé",93368,,,07,Horta-Guinardó,37,"el Carmel",Municipal,"Biblioteques de Barcelona",Biblioteques,Lletres,41.421104560,2.155286623
2021,Fons_Documentals,"Biblioteca Guinardó - Mercè Rodoreda",88015,,,07,Horta-Guinardó,33,"el Baix Guinardó",Municipal,"Biblioteques de Barcelona",Biblioteques,Lletres,41.414313258,2.165318095
2021,Fons_Documentals,"Biblioteca Horta - Can Mariner",53180,,,07,Horta-Guinardó,43,Horta,Municipal,"Biblioteques de Barcelona",Biblioteques,Lletres,41.431105502,2.160733590
2021,Fons_Documentals,"Biblioteca Montbau - Albert Pérez Baró",36758,,,07,Horta-Guinardó,40,Montbau,Municipal,"Biblioteques de Barcelona",Biblioteques,Lletres,41.429553532,2.142195427
